Hospital,admission_day,concurrent_admissions,signal
Garcia Inc,2020-02-10,1,normal
Garcia Inc,2020-08-20,1,normal
Garcia Inc,2021-05-01,2,normal
Garcia Inc,2021-05-06,1,normal
Garcia Inc,2021-06-21,1,normal
Garcia Inc,2021-07-04,2,normal
Garcia Inc,2022-10-01,2,normal
Garcia Inc,2023-01-05,1,normal
Garcia Inc,2024-02-27,1,normal
"Garcia Johnson and Nelson,",2020-08-24,1,normal
"Garcia Johnson, and Cordova",2024-02-08,1,normal
"Garcia Johnson, and Garcia",2023-03-02,1,normal
Garcia LLC,2019-12-19,1,normal
Garcia LLC,2019-12-22,2,normal
Garcia LLC,2020-02-21,1,normal
Garcia LLC,2021-01-09,1,normal
Garcia LLC,2022-01-06,2,normal
Garcia LLC,2023-07-11,1,normal
Garcia LLC,2023-09-25,1,normal
Garcia LLC,2024-01-29,1,normal
Garcia LLC,2024-02-05,1,normal
Garcia Ltd,2020-08-03,1,normal
Garcia Ltd,2021-08-06,1,normal
Garcia Ltd,2022-11-01,1,normal
Garcia Ltd,2023-01-29,1,normal
Garcia Ltd,2023-06-18,1,normal
Garcia Ltd,2023-07-16,1,normal
Garcia Ltd,2024-02-29,1,normal
"Garcia Lucero Thomas, and",2022-11-16,1,normal
"Garcia Martin, Taylor and",2020-06-14,2,normal
"Garcia Miller Hampton, and",2020-09-15,1,normal
"Garcia Miller, Edwards and",2020-08-19,1,normal
"Garcia Morales and Pope,",2023-05-25,1,normal
"Garcia Moreno and Edwards,",2020-09-11,1,normal
"Garcia Mosley, and Baker",2020-03-15,1,normal
"Garcia Nelson and Diaz,",2022-10-24,1,normal
"Garcia Nolan, Thomas and",2019-10-01,2,normal
"Garcia Obrien, Casey and",2021-02-15,1,normal
Garcia PLC,2019-08-03,1,normal
Garcia PLC,2020-01-24,1,normal
Garcia PLC,2020-05-06,1,normal
Garcia PLC,2020-09-24,1,normal
Garcia PLC,2020-10-09,1,normal
Garcia PLC,2020-10-26,1,normal
Garcia PLC,2020-11-24,1,normal
Garcia PLC,2021-05-08,1,normal
Garcia PLC,2021-05-10,1,normal
Garcia PLC,2022-06-28,1,normal
Garcia PLC,2022-11-12,1,normal
Garcia PLC,2023-08-13,1,normal
"Garcia Rhodes and Riggs,",2019-05-24,1,normal
"Garcia Roberson Taylor, and",2020-06-13,1,normal
"Garcia Schroeder, Gilbert and",2019-09-22,1,normal
"Garcia Scott and French,",2019-10-19,1,normal
"Garcia Sellers, Phillips and",2019-06-19,1,normal
"Garcia Shah and Miranda,",2021-05-29,1,normal
"Garcia Simmons and Harrison,",2022-01-22,1,normal
"Garcia Singh Henry, and",2023-09-15,1,normal
"Garcia Smith and Sherman,",2019-10-10,1,normal
"Garcia Smith, and Nguyen",2023-02-18,1,normal
"Garcia Snyder, and White",2023-01-17,1,normal
Garcia Sons and,2021-02-15,1,normal
Garcia Sons and,2021-03-29,1,normal
Garcia Sons and,2022-12-03,2,normal
Garcia Sons and,2023-07-30,1,normal
"Garcia Stanley and Levine,",2021-08-12,1,normal
"Garcia Stone, and Gallegos",2019-05-11,1,normal
"Garcia Strong, and Holmes",2023-07-29,1,normal
"Garcia Thompson and Gibbs,",2022-11-29,1,normal
"Garcia Welch, Gordon and",2023-11-01,1,normal
"Garcia White, and Cobb",2023-03-24,1,normal
"Garcia Wilson and Griffin,",2023-09-13,2,normal
"Garcia Woodward and Morgan,",2020-03-19,1,normal
"Garcia Wu, and Hudson",2023-05-18,1,normal
"Garcia and Allen Garcia,",2023-07-26,1,normal
"Garcia and Anderson, Bailey",2020-06-10,1,normal
"Garcia and Ayala Barnes,",2019-05-09,1,normal
"Garcia and Cunningham, Griffin",2022-06-14,1,normal
"Garcia and Deleon Jenkins,",2023-05-22,1,normal
"Garcia and Evans, Cruz",2022-09-16,1,normal
"Garcia and Glass, Santana",2021-05-29,1,normal
"Garcia and Hampton Skinner,",2021-09-18,2,normal
"Garcia and Ibarra, Conway",2022-10-05,1,normal
"Garcia and Johnson Maxwell,",2021-03-02,1,normal
"Garcia and Mann Reed,",2021-12-19,1,normal
"Garcia and Nguyen, Leonard",2020-11-20,1,normal
"Garcia and Sanchez Bond,",2021-06-16,1,normal
"Garcia and Sanchez, Marsh",2022-10-01,2,normal
"Garcia and Shah, Bradley",2023-02-18,1,normal
Garcia and Sons,2019-12-31,2,normal
"Garcia and Stone Hamilton,",2020-11-17,1,normal
"Garcia and Todd Rogers,",2022-06-15,2,normal
"Garcia and Vargas, Brooks",2023-04-22,1,normal
"Garcia and Watts, Jenkins",2022-02-02,1,normal
"Garcia, Andrade and Howell",2021-03-24,1,normal
"Garcia, Benjamin Brooks and",2021-12-14,1,normal
"Garcia, Bishop and Norris",2022-07-08,1,normal
"Garcia, Brown Aguirre and",2023-02-28,1,normal
"Garcia, Dalton Peterson and",2020-01-29,1,normal
"Garcia, Davis Bishop and",2023-02-13,1,normal
"Garcia, Durham Smith and",2024-01-09,1,normal
"Garcia, Gilbert Hill and",2022-08-31,1,normal
"Garcia, Gonzalez and Gentry",2020-07-02,1,normal
"Garcia, Griffin and Taylor",2021-06-04,1,normal
"Garcia, Johnson Jimenez and",2021-07-28,1,normal
"Garcia, Johnson and Mcpherson",2023-05-30,1,normal
"Garcia, Kim and Fisher",2021-05-03,1,normal
"Garcia, King Chan and",2022-06-08,1,normal
"Garcia, Martinez Watkins and",2021-03-15,1,normal
"Garcia, Nicholson Smith and",2023-03-03,1,normal
"Garcia, Porter and Mora",2023-01-07,1,normal
"Garcia, Price Rivas and",2022-11-15,1,normal
"Garcia, Ross Simpson and",2020-06-29,1,normal
"Garcia, Wallace Haley and",2022-11-01,1,normal
"Garcia, Wells and Fuentes",2021-11-12,1,normal
"Garcia, Williams Lee and",2023-06-16,1,normal
"Garcia, Williams and Hernandez",2023-10-31,1,normal
"Garcia, Wright and Watson",2021-01-21,1,normal
"Garcia, and Bishop Hernandez",2019-06-02,1,normal
"Garcia, and Brooks Carlson",2023-03-30,1,normal
"Garcia, and Gutierrez Wilson",2019-05-28,1,normal
"Garcia, and Kirk Rogers",2022-04-06,1,normal
"Garcia, and Marshall Maxwell",2021-12-01,1,normal
"Garcia, and Martinez Ball",2022-08-19,1,normal
"Garcia, and Moore Collins",2024-03-20,1,normal
"Garcia, and Reyes Carey",2022-07-15,2,normal
"Garcia, and Richmond Hudson",2019-06-15,1,normal
"Garcia, and Smith Payne",2020-06-09,1,normal
Garcia-Abbott,2021-05-18,1,normal
Garcia-Adams,2022-08-12,1,normal
Garcia-Adams,2022-10-01,1,normal
Garcia-Adkins,2022-10-19,1,normal
Garcia-Aguilar,2020-02-29,2,normal
Garcia-Allen,2019-05-24,1,normal
Garcia-Allen,2020-12-04,1,normal
Garcia-Allen,2022-05-02,1,normal
Garcia-Armstrong,2021-01-15,1,normal
Garcia-Barnett,2021-06-29,1,normal
Garcia-Bell,2021-09-22,1,normal
Garcia-Bennett,2021-06-30,1,normal
Garcia-Best,2019-09-27,1,normal
Garcia-Black,2023-11-12,1,normal
Garcia-Blake,2024-01-10,1,normal
Garcia-Bradley,2022-07-29,2,normal
Garcia-Brown,2019-12-21,1,normal
Garcia-Brown,2020-12-30,1,normal
Garcia-Bush,2021-02-22,1,normal
Garcia-Butler,2021-01-20,1,normal
Garcia-Calderon,2023-01-16,1,normal
Garcia-Campbell,2020-04-25,1,normal
Garcia-Carroll,2020-07-09,1,normal
Garcia-Carter,2022-06-01,1,normal
Garcia-Casey,2022-12-12,1,normal
Garcia-Chavez,2024-04-08,1,normal
Garcia-Clark,2019-05-12,1,normal
Garcia-Coleman,2022-10-23,1,normal
Garcia-Coleman,2023-08-26,1,normal
Garcia-Collins,2020-05-16,1,normal
Garcia-Contreras,2023-03-13,1,normal
Garcia-Cox,2019-07-16,2,normal
Garcia-Crawford,2022-03-06,1,normal
Garcia-Davis,2021-02-07,1,normal
Garcia-Davis,2021-04-04,1,normal
Garcia-Davis,2022-01-02,1,normal
Garcia-Davis,2022-07-20,1,normal
Garcia-Dougherty,2022-02-08,2,normal
Garcia-Duncan,2021-08-25,1,normal
Garcia-Erickson,2021-04-28,1,normal
Garcia-Farmer,2019-07-20,1,normal
Garcia-Farmer,2019-09-19,1,normal
Garcia-Faulkner,2021-12-22,1,normal
Garcia-Fleming,2021-04-29,1,normal
Garcia-Foster,2020-10-15,1,normal
Garcia-Frey,2019-11-03,1,normal
Garcia-Garcia,2021-10-12,1,normal
Garcia-Garcia,2022-04-07,1,normal
Garcia-Garcia,2023-12-17,1,normal
Garcia-George,2023-05-24,1,normal
Garcia-Gonzalez,2020-03-31,1,normal
Garcia-Graham,2021-05-25,1,normal
Garcia-Grant,2020-01-31,2,normal
Garcia-Gray,2020-11-17,1,normal
Garcia-Gross,2020-03-19,1,normal
Garcia-Hanna,2019-06-13,1,normal
Garcia-Harmon,2021-04-29,1,normal
Garcia-Harper,2023-12-26,1,normal
Garcia-Harris,2020-06-19,1,normal
Garcia-Hayes,2024-04-28,1,normal
Garcia-Henry,2023-09-01,2,normal
Garcia-Hines,2020-02-06,1,normal
Garcia-House,2023-11-25,1,normal
Garcia-Hughes,2020-12-25,1,normal
Garcia-Hughes,2022-10-26,1,normal
Garcia-Hughes,2022-11-14,1,normal
Garcia-Jackson,2023-02-24,1,normal
Garcia-Jackson,2024-01-31,1,normal
Garcia-Jacobs,2023-04-23,1,normal
Garcia-Jensen,2021-11-15,1,normal
Garcia-Johnson,2019-10-21,2,normal
Garcia-Jones,2020-03-22,1,normal
Garcia-Joseph,2021-08-08,1,normal
Garcia-Juarez,2020-03-01,2,normal
Garcia-Kelley,2019-09-08,1,normal
Garcia-Kidd,2021-05-27,1,normal
Garcia-King,2020-06-19,1,normal
Garcia-Kline,2019-08-19,1,normal
Garcia-Lambert,2019-06-09,1,normal
Garcia-Lawrence,2021-12-02,1,normal
Garcia-Leach,2022-07-23,1,normal
Garcia-Lee,2023-04-07,1,normal
Garcia-Lewis,2019-10-05,1,normal
Garcia-Lopez,2023-08-10,1,normal
Garcia-Mack,2022-06-24,1,normal
Garcia-Martin,2022-08-28,1,normal
Garcia-Martinez,2023-07-14,1,normal
Garcia-Mccullough,2022-08-01,1,normal
Garcia-Moore,2021-07-20,2,normal
Garcia-Mueller,2023-09-23,1,normal
Garcia-Murphy,2021-09-04,1,normal
Garcia-Newman,2022-03-02,1,normal
Garcia-Newton,2019-11-02,1,normal
Garcia-Nichols,2023-08-09,1,normal
Garcia-Nixon,2019-06-02,1,normal
Garcia-Norton,2024-02-20,1,normal
Garcia-Oliver,2023-05-31,2,normal
Garcia-Olson,2022-02-19,1,normal
Garcia-Palmer,2023-04-07,1,normal
Garcia-Parker,2023-10-08,1,normal
Garcia-Patterson,2022-12-06,1,normal
Garcia-Patton,2020-08-05,1,normal
Garcia-Paul,2019-12-01,1,normal
Garcia-Payne,2023-04-28,1,normal
Garcia-Ramirez,2021-03-19,1,normal
Garcia-Ramirez,2022-02-25,1,normal
Garcia-Ramos,2019-06-24,1,normal
Garcia-Rivera,2020-05-13,1,normal
Garcia-Rivera,2021-04-23,1,normal
Garcia-Roberts,2023-10-26,1,normal
Garcia-Robinson,2020-10-24,1,normal
Garcia-Robinson,2023-11-15,1,normal
Garcia-Rodriguez,2019-07-10,1,normal
Garcia-Salazar,2022-11-01,1,normal
Garcia-Salinas,2020-03-28,1,normal
Garcia-Sanchez,2020-01-07,1,normal
Garcia-Silva,2019-08-01,1,normal
Garcia-Smith,2022-05-30,1,normal
Garcia-Smith,2024-04-24,1,normal
Garcia-Soto,2020-02-19,1,normal
Garcia-Stewart,2023-09-12,1,normal
Garcia-Sullivan,2023-11-19,1,normal
Garcia-Thompson,2020-09-17,1,normal
Garcia-Trevino,2020-04-29,1,normal
Garcia-Underwood,2021-12-27,1,normal
Garcia-Valencia,2020-06-28,1,normal
Garcia-Valentine,2023-03-10,1,normal
Garcia-Villegas,2021-09-21,1,normal
Garcia-Wagner,2022-09-17,1,normal
Garcia-Wallace,2020-08-06,1,normal
Garcia-Warren,2019-05-30,2,normal
Garcia-Wells,2024-04-10,2,normal
Garcia-West,2020-11-11,1,normal
Garcia-Williams,2020-06-10,1,normal
Garcia-Williams,2021-11-30,1,normal
Garcia-Williamson,2022-10-27,1,normal
Garcia-Yoder,2020-09-09,1,normal
Garcia-Yu,2023-05-31,1,normal
Garcia-Zimmerman,2020-07-29,1,normal
"Gardner Cook, and White",2020-04-12,1,normal
"Gardner Ferguson and Blankenship,",2021-02-24,1,normal
Gardner Group,2021-10-25,1,normal
Gardner Group,2021-12-09,1,normal
Gardner Group,2022-11-19,1,normal
"Gardner Harris, Wood and",2020-07-04,1,normal
Gardner LLC,2020-12-03,1,normal
Gardner Ltd,2023-08-17,2,normal
"Gardner Morris Lee, and",2019-09-10,1,normal
"Gardner Patton Zimmerman, and",2023-08-01,2,normal
"Gardner White, and Dominguez",2020-12-15,1,normal
"Gardner and Brown, Johnson",2020-11-21,1,normal
"Gardner and Contreras Miles,",2022-07-08,1,normal
"Gardner and Powers Scott,",2022-05-02,2,normal
"Gardner and Russell, Frazier",2024-02-18,1,normal
"Gardner, Bennett Ramirez and",2022-10-24,1,normal
"Gardner, Vaughn and Ramirez",2019-11-13,2,normal
Gardner-Adams,2023-05-04,1,normal
Gardner-Bell,2023-05-04,1,normal
Gardner-Boone,2022-03-15,1,normal
Gardner-Brown,2020-11-13,2,normal
Gardner-Conley,2021-11-20,2,normal
Gardner-Dixon,2021-10-27,1,normal
Gardner-Humphrey,2021-12-14,1,normal
Gardner-Lopez,2023-03-25,2,normal
Gardner-Miller,2021-01-03,1,normal
Gardner-Morales,2019-07-16,2,normal
Gardner-Moreno,2024-05-01,1,normal
Gardner-Munoz,2019-07-08,1,normal
Gardner-Ross,2020-10-15,1,normal
Gardner-Scott,2022-03-03,1,normal
Gardner-Shaw,2022-02-18,1,normal
Gardner-Shelton,2019-09-26,1,normal
Gardner-Snyder,2021-07-15,1,normal
Gardner-Walsh,2020-10-21,1,normal
Gardner-Walters,2023-04-12,1,normal
Gardner-Watts,2020-08-31,1,normal
Gardner-Willis,2019-09-06,1,normal
"Garner Brown and Carter,",2019-07-13,1,normal
Garner Group,2022-12-27,1,normal
Garner Group,2023-02-23,1,normal
Garner Inc,2021-11-14,1,normal
Garner Inc,2022-02-15,1,normal
Garner Inc,2023-06-03,1,normal
Garner LLC,2020-07-02,1,normal
Garner Ltd,2019-08-11,1,normal
Garner Ltd,2020-10-31,1,normal
Garner Ltd,2021-12-19,1,normal
"Garner Martin Hall, and",2024-05-01,1,normal
"Garner Mendoza, Ward and",2020-03-21,1,normal
"Garner Palmer Oconnor, and",2021-10-09,1,normal
"Garner and Harris Stewart,",2021-02-15,1,normal
"Garner and Melton Holmes,",2023-09-17,1,normal
Garner and Sons,2020-04-26,1,normal
Garner and Sons,2023-10-15,1,normal
"Garner, and King Smith",2023-08-28,1,normal
Garner-Armstrong,2021-09-22,1,normal
Garner-Bowman,2020-05-15,1,normal
Garner-Collier,2020-08-06,1,normal
Garner-Flores,2021-03-19,1,normal
Garner-Hayes,2019-12-11,1,normal
Garner-Miles,2021-10-25,1,normal
Garner-Mitchell,2022-07-07,1,normal
Garner-Rowland,2023-03-28,1,normal
Garner-Wheeler,2023-07-30,1,normal
Garner-White,2019-08-21,1,normal
"Garrett Colon, Cole and",2020-01-10,1,normal
"Garrett Cortez, and Price",2022-09-28,1,normal
"Garrett Doyle and Gordon,",2020-10-01,1,normal
Garrett Group,2019-12-27,1,normal
Garrett Group,2021-08-11,1,normal
Garrett Group,2023-08-13,1,normal
Garrett Inc,2022-06-05,2,normal
"Garrett Johnson, and Lee",2019-12-25,1,normal
Garrett LLC,2021-04-14,1,normal
Garrett Ltd,2021-05-07,1,normal
Garrett Ltd,2022-08-11,2,normal
Garrett Ltd,2023-02-19,1,normal
"Garrett Martinez, Graham and",2023-03-01,2,normal
Garrett PLC,2021-04-30,1,normal
Garrett PLC,2024-03-15,2,normal
"Garrett Randall, Brown and",2020-11-15,1,normal
Garrett Sons and,2022-03-01,1,normal
"Garrett and Haney Martin,",2021-12-21,1,normal
"Garrett and Lawson, Quinn",2022-03-25,1,normal
"Garrett and Pierce, Sharp",2020-09-13,1,normal
Garrett and Sons,2022-08-16,1,normal
"Garrett, Nichols and Harrison",2020-06-16,1,normal
"Garrett, Patterson and Johnson",2021-08-22,1,normal
"Garrett, and Bullock Morales",2022-08-14,1,normal
"Garrett, and Daugherty Johnson",2022-01-04,1,normal
"Garrett, and Morales Myers",2021-09-16,1,normal
Garrett-Anderson,2023-11-17,2,normal
Garrett-Cox,2020-02-14,2,normal
Garrett-Edwards,2019-10-24,1,normal
Garrett-Hall,2020-06-15,1,normal
Garrett-Hernandez,2021-01-29,2,normal
Garrett-Jackson,2020-10-04,1,normal
Garrett-Jordan,2021-03-21,1,normal
Garrett-Kent,2023-09-17,1,normal
Garrett-Knight,2023-11-10,1,normal
Garrett-Logan,2023-11-07,1,normal
Garrett-Morgan,2020-01-06,1,normal
Garrett-Murray,2021-05-24,1,normal
Garrett-Schmidt,2022-10-30,1,normal
Garrett-Smith,2022-04-22,1,normal
"Garrison Davis, Garza and",2020-11-16,1,normal
"Garrison Gonzalez, and Gonzalez",2020-12-17,1,normal
Garrison LLC,2021-07-02,1,normal
Garrison Ltd,2023-10-24,2,normal
Garrison PLC,2022-02-03,1,normal
Garrison PLC,2022-04-14,1,normal
"Garrison Smith, Mitchell and",2019-07-02,1,normal
Garrison Sons and,2020-07-04,1,normal
Garrison Sons and,2023-12-08,1,normal
"Garrison Strickland, White and",2020-01-08,1,normal
"Garrison Yates, Mcgee and",2024-04-07,1,normal
"Garrison and Palmer, Gallegos",2023-05-26,1,normal
"Garrison, Parsons and Jones",2019-09-25,1,normal
Garrison-Bruce,2022-11-17,1,normal
Garrison-Collier,2021-08-23,1,normal
Garrison-Crane,2021-03-15,1,normal
Garrison-Gomez,2023-09-30,1,normal
Garrison-Jackson,2023-03-26,2,normal
Garrison-Mcfarland,2020-07-25,1,normal
Garrison-Murillo,2022-05-11,1,normal
Garrison-Petersen,2020-01-20,1,normal
Garrison-Rodriguez,2023-07-23,1,normal
Garrison-Sandoval,2020-09-20,1,normal
Garza Group,2019-07-28,1,normal
Garza Group,2020-04-02,2,normal
Garza Group,2020-09-13,1,normal
Garza Group,2020-12-06,1,normal
Garza Group,2022-08-25,2,normal
Garza Inc,2019-06-05,2,normal
Garza Inc,2022-07-09,2,normal
"Garza Jordan Harrington, and",2020-07-25,1,normal
"Garza Jordan, and Moore",2022-07-22,1,normal
Garza LLC,2019-05-12,1,normal
Garza Ltd,2024-01-13,1,normal
"Garza Moses Wilson, and",2023-10-23,1,normal
Garza PLC,2020-05-07,1,normal
Garza PLC,2020-06-01,1,normal
Garza PLC,2022-09-21,1,normal
"Garza Reed, and Freeman",2023-03-22,1,normal
"Garza Vazquez, Mcbride and",2020-05-12,1,normal
"Garza and Escobar, Chavez",2021-03-01,1,normal
"Garza and Johnson Gordon,",2022-01-09,1,normal
"Garza and Velasquez, White",2022-02-03,1,normal
"Garza, Carroll and Hernandez",2024-02-28,1,normal
"Garza, Farley and Ford",2020-01-06,1,normal
"Garza, Moore and Kennedy",2023-09-15,1,normal
"Garza, Morrow and Callahan",2019-09-24,1,normal
"Garza, Morton Freeman and",2019-08-11,1,normal
"Garza, Williams Walker and",2023-02-23,1,normal
"Garza, Young and Smith",2019-07-24,1,normal
Garza-Andrews,2020-01-02,1,normal
Garza-Bell,2024-04-08,1,normal
Garza-Costa,2023-07-24,1,normal
Garza-Gallagher,2023-05-31,1,normal
Garza-Garcia,2023-08-16,1,normal
Garza-Hayes,2022-08-27,1,normal
Garza-King,2021-01-01,1,normal
Garza-Leon,2019-09-16,1,normal
Garza-Lopez,2023-04-04,1,normal
Garza-Lucas,2023-07-02,1,normal
Garza-Marsh,2021-01-22,1,normal
Garza-Martin,2022-12-04,1,normal
Garza-Rodriguez,2023-02-03,1,normal
Garza-Sanchez,2020-11-16,1,normal
Garza-Scott,2022-01-22,1,normal
Garza-Strickland,2022-12-11,1,normal
Garza-Thompson,2023-08-07,1,normal
Garza-Wells,2022-01-22,1,normal
Garza-Williams,2024-02-28,1,normal
Garza-Yang,2019-10-22,1,normal
"Gates Brown, and Stuart",2020-08-23,2,normal
"Gates Francis and Scott,",2020-05-09,1,normal
Gates Group,2020-05-08,1,normal
Gates Group,2020-05-10,1,normal
Gates Group,2023-01-20,1,normal
Gates Inc,2020-01-27,1,normal
"Gates Johnson, and Velez",2021-06-26,1,normal
"Gates Lane, and Calhoun",2019-07-29,1,normal
"Gates Lopez, and Spencer",2023-12-31,1,normal
Gates Ltd,2022-09-24,1,normal
"Gates Price, Wheeler and",2022-09-02,1,normal
"Gates Robinson Lopez, and",2021-07-11,1,normal
Gates Sons and,2021-02-08,1,normal
Gates Sons and,2023-05-21,1,normal
"Gates Stuart and Kennedy,",2021-09-11,1,normal
"Gates Underwood, Coleman and",2019-11-04,1,normal
"Gates and Brown Patel,",2024-04-06,2,normal
"Gates and Davis, Thomas",2020-09-21,1,normal
"Gates and Roberson, Reynolds",2022-11-23,1,normal
"Gates, Cunningham Rubio and",2021-04-23,1,normal
"Gates, Hall and Anderson",2021-04-07,1,normal
"Gates, Jenkins Johnston and",2024-01-19,1,normal
Gates-Austin,2020-06-28,1,normal
Gates-Cannon,2022-07-23,1,normal
Gates-Green,2021-11-15,1,normal
Gates-Green,2023-01-29,1,normal
Gates-Hill,2021-07-27,1,normal
Gates-Kramer,2021-04-28,1,normal
Gates-Lin,2019-05-24,1,normal
Gates-Lopez,2023-09-11,1,normal
Gates-Monroe,2019-09-21,1,normal
Gates-Stewart,2020-03-24,1,normal
Gay Inc,2024-03-18,1,normal
Gay-Jefferson,2023-07-12,1,normal
Gay-Johnson,2021-08-17,1,normal
"Gentry Cummings, Taylor and",2022-04-23,1,normal
Gentry Inc,2019-06-12,1,normal
"Gentry King, Moses and",2022-06-04,1,normal
Gentry Ltd,2020-10-28,1,normal
Gentry and Sons,2020-03-20,1,normal
Gentry and Sons,2022-01-30,1,normal
"Gentry, Taylor Nash and",2023-04-08,1,normal
Gentry-Dyer,2022-01-21,2,normal
Gentry-Jones,2021-02-04,1,normal
Gentry-Martin,2022-04-30,1,normal
Gentry-Snyder,2019-07-09,1,normal
Gentry-Thompson,2023-08-21,2,normal
Gentry-Walker,2024-01-24,1,normal
"George Cole, Graham and",2021-01-28,1,normal
George Group,2020-03-04,1,normal
"George Hebert and Mitchell,",2023-02-05,1,normal
"George Henry Kelly, and",2020-10-19,1,normal
George Inc,2019-10-01,1,normal
George Inc,2022-02-11,1,normal
"George Jones, and Walters",2020-03-06,1,normal
George LLC,2019-08-24,2,normal
George LLC,2021-03-09,1,normal
"George Leach, Macdonald and",2022-03-14,2,normal
George Ltd,2024-03-12,1,normal
"George Moss Lopez, and",2022-08-24,1,normal
George PLC,2019-11-06,1,normal
George PLC,2021-02-19,2,normal
George PLC,2021-09-23,1,normal
"George Robinson, Ferguson and",2019-07-31,1,normal
"George Salazar Walker, and",2020-01-01,1,normal
"George Vasquez, Russell and",2024-04-17,1,normal
"George Ward, and Clark",2022-07-29,1,normal
"George Watson Vazquez, and",2021-05-12,1,normal
"George and Alvarez Hayes,",2020-08-21,1,normal
"George and Rodriguez Ballard,",2023-09-27,1,normal
George and Sons,2021-03-26,1,normal
"George, Leach Duncan and",2020-06-10,1,normal
George-Bishop,2022-12-10,1,normal
George-Brown,2024-01-04,1,normal
George-Chapman,2022-03-01,1,normal
George-Gonzalez,2019-05-20,1,normal
George-Hill,2020-06-13,2,normal
George-Lee,2020-06-17,1,normal
George-Moran,2023-06-10,1,normal
George-Parrish,2023-07-05,1,normal
George-Peck,2020-10-18,1,normal
George-Powell,2020-12-24,1,normal
George-Rosales,2023-04-02,1,normal
George-Smith,2021-01-09,1,normal
George-Smith,2022-01-25,1,normal
George-Smith,2024-01-12,1,normal
George-Vega,2020-12-24,1,normal
George-Walker,2024-03-29,1,normal
"Gibbs Castillo, and Ward",2021-06-01,1,normal
Gibbs Inc,2021-01-03,1,normal
Gibbs Inc,2021-10-26,1,normal
Gibbs Ltd,2024-04-15,1,normal
Gibbs PLC,2020-02-20,1,normal
Gibbs PLC,2023-06-01,1,normal
Gibbs Sons and,2023-08-30,2,normal
"Gibbs Ward and Ruiz,",2019-10-04,1,normal
"Gibbs and Gutierrez, Cook",2020-03-08,1,normal
"Gibbs, Evans Mack and",2023-03-05,2,normal
"Gibbs, and Rodriguez Koch",2019-06-15,1,normal
"Gibbs, and Thomas Clark",2020-02-16,1,normal
Gibbs-Alvarez,2021-10-03,1,normal
Gibbs-Bowman,2020-08-29,1,normal
Gibbs-Boyer,2020-01-10,1,normal
Gibbs-Brown,2020-10-03,1,normal
Gibbs-Holder,2021-08-14,1,normal
Gibbs-Johnson,2019-09-17,1,normal
Gibbs-Pena,2020-04-21,1,normal
Gibbs-Smith,2022-06-14,1,normal
Gibbs-Spencer,2022-11-10,1,normal
"Gibson Clarke, and Knox",2021-03-27,1,normal
"Gibson Horne Alexander, and",2022-01-16,1,normal
Gibson Inc,2024-04-20,1,normal
Gibson LLC,2020-03-21,1,normal
Gibson LLC,2020-07-07,1,normal
Gibson LLC,2021-05-24,1,normal
Gibson LLC,2021-10-26,1,normal
Gibson LLC,2021-11-13,1,normal
Gibson LLC,2022-03-28,1,normal
Gibson LLC,2023-07-22,1,normal
Gibson LLC,2023-11-25,1,normal
Gibson Ltd,2020-08-16,1,normal
Gibson Ltd,2020-09-30,2,normal
Gibson Ltd,2023-07-04,1,normal
Gibson Ltd,2023-09-23,1,normal
Gibson Ltd,2024-03-10,1,normal
"Gibson Marquez Andrews, and",2021-06-25,1,normal
"Gibson Roberson, and Jimenez",2020-09-24,1,normal
"Gibson and Cameron Mckee,",2021-10-19,1,normal
"Gibson and Kim, Bell",2019-10-29,1,normal
"Gibson and Palmer Garcia,",2023-11-08,1,normal
"Gibson, Hanson and Foster",2021-11-27,1,normal
"Gibson, Hendricks and Smith",2020-12-10,1,normal
"Gibson, Jimenez Brown and",2020-12-24,1,normal
"Gibson, Pearson and Pena",2021-08-11,1,normal
"Gibson, and Joseph Kennedy",2019-06-14,1,normal
Gibson-Allen,2019-05-23,2,normal
Gibson-Alvarez,2019-06-22,1,normal
Gibson-Banks,2024-03-21,1,normal
Gibson-Butler,2023-02-26,1,normal
Gibson-Chen,2020-02-03,1,normal
Gibson-Graham,2023-06-16,1,normal
Gibson-Harrell,2022-06-03,1,normal
Gibson-Hayden,2022-10-23,1,normal
Gibson-Howard,2023-11-08,1,normal
Gibson-Jones,2023-01-25,1,normal
Gibson-Lucas,2019-09-22,2,normal
Gibson-Meyer,2022-07-07,1,normal
Gibson-Mitchell,2020-04-10,1,normal
Gibson-Osborne,2021-03-07,1,normal
Gibson-Perry,2023-09-23,1,normal
Gibson-Russell,2023-03-16,1,normal
Gibson-Sullivan,2023-10-23,1,normal
Gibson-Thompson,2019-08-31,1,normal
Gibson-Wagner,2023-09-22,1,normal
Gibson-Wallace,2023-05-13,1,normal
Gibson-Weber,2022-01-30,1,normal
Gibson-Williams,2020-05-01,1,normal
"Gilbert Allen, Stone and",2020-06-28,1,normal
"Gilbert Copeland and Lee,",2019-07-04,1,normal
"Gilbert Garrett, and Harmon",2020-11-20,1,normal
Gilbert Group,2020-05-07,1,normal
Gilbert Group,2020-08-29,1,normal
Gilbert Inc,2022-11-25,2,normal
Gilbert LLC,2021-11-17,1,normal
Gilbert Ltd,2020-12-17,1,normal
Gilbert Ltd,2021-05-04,1,normal
Gilbert Ltd,2021-07-20,1,normal
Gilbert Ltd,2021-11-20,1,normal
Gilbert Ltd,2022-01-08,1,normal
